BPUIC1;BPUIC2;NUM_CONNECTIONS;AVG_DURATION
8503424;8500090;17;73.18
8500090;8503424;18;72.39
8503000;8500010;35;54.0
8500010;8500090;68;6.06
8500090;8500010;73;6.33
8500010;8503000;38;57.42
8503424;8503000;18;36.0
8507492;8507493;35;3.51
8507493;8507483;35;17.06
8507483;8507100;66;9.42
8507100;8507000;51;19.55
8507000;8500218;58;26.57
8500218;8500010;32;26.47
8500010;8500023;55;9.96
8500023;8500026;36;6.03
8500026;8500218;1;14.0
8500218;8507000;57;27.58
8507000;8507100;51;18.27
8507100;8507483;66;9.12
8507483;8507493;36;17.0
8507493;8507492;36;4.67
8501609;8501605;95;6.26
8501605;8507483;24;25.96
8500010;8500218;34;26.0
8507483;8501605;24;26.0
8501605;8501609;99;7.23
8507483;8507478;1;11.0
8507478;8501605;1;17.0
8500218;8500023;22;16.0
8500023;8500010;55;11.02
8500023;8500218;20;17.95
8503000;8503424;15;36.0
8503000;8509411;25;55.44
8509411;8509002;24;8.33
8509002;8509000;96;8.74
8509000;8509002;96;8.01
8509002;8509411;25;8.0
8509411;8503000;25;56.4
8503000;8502119;39;20.0
8502119;8502113;84;6.52
8502113;8500026;20;18.0
8500026;8500023;35;5.54
8503000;8507000;34;56.29
8507000;8503000;33;56.82
8504134;8504133;37;3.0
8504133;8504132;37;6.0
8504132;8504131;37;5.0
8504131;8504130;37;4.0
8504130;8504144;37;4.0
8504144;8504200;37;6.0
8504200;8504144;37;2.0
8504144;8504130;37;5.0
8504130;8504131;37;4.0
8504131;8504132;37;5.0
8504132;8504133;37;4.0
8504133;8504134;37;6.0
8504134;8504135;36;2.0
8504135;8504136;36;3.0
8504136;8504137;36;3.0
8504137;8504138;36;6.0
8504138;8504139;36;4.0
8504139;8504181;36;3.0
8504181;8504100;74;5.47
8504100;8504181;73;4.0
8504181;8504139;36;2.0
8504139;8504138;36;5.0
8504138;8504137;36;4.0
8504137;8504136;36;4.0
8504136;8504135;36;2.0
8504135;8504134;36;4.03
8501104;8501103;43;4.56
8501103;8501104;42;4.45
8505307;8505305;49;7.35
8505305;8505300;3;17.67
8505300;8505213;30;15.3
8505213;8505004;20;54.6
8505004;8502204;33;15.0
8502204;8503000;51;23.53
8504300;8504221;36;16.03
8504221;8504200;38;18.24
8504200;8501120;19;22.0
8500218;8500212;18;11.06
8500212;8500207;18;10.06
8500207;8500202;19;6.95
8500202;8504300;19;9.05
8504300;8500202;23;8.04
8500202;8500207;23;7.0
8500207;8500212;20;11.0
8500212;8500218;20;11.1
8500218;8503000;23;31.04
8503000;8503016;60;8.9
8503016;8506000;95;13.25
8506000;8506302;25;32.76
8503000;8500218;22;30.14
8506302;8506000;25;32.72
8506000;8503016;96;12.62
8503016;8503000;60;9.58
8501120;8504200;20;21.1
8504200;8504221;38;18.95
8504221;8504300;36;16.97
8500218;8505000;19;35.0
8505000;8505004;18;27.0
8505004;8505113;9;18.78
8505113;8505213;9;34.0
8505213;8505300;28;15.36
8505300;8505307;12;24.5
8500207;8500218;18;17.33
8504300;8500159;37;10.0
8500159;8500105;37;6.54
8500105;8500109;37;9.97
8504200;8501118;2;20.0
8501118;8501120;62;6.05
8505307;8505300;13;23.46
8505213;8505113;9;32.78
8505113;8505004;10;21.0
8505004;8505000;18;26.0
8505000;8500218;20;34.0
8501120;8501118;63;5.7
8501118;8504200;2;20.0
8500109;8500105;36;9.0
8500105;8500159;36;7.5
8500159;8504300;36;9.5
8504200;8501037;17;22.24
8501037;8501008;12;29.0
8501008;8501026;85;6.86
8500109;8500113;40;12.15
8500113;8500010;9;20.0
8500010;8500113;10;17.0
8500113;8500109;38;14.84
8509404;8503000;8;68.75
8503000;8509404;9;68.0
8509404;8509411;20;11.0
8501506;8501500;39;13.1
8501500;8501403;23;10.0
8501403;8501402;45;3.73
8501402;8501400;45;5.98
8501400;8501300;41;9.78
8501300;8501200;53;5.13
8501200;8501120;69;15.58
8501120;8501037;35;10.49
8501037;8501030;34;15.85
8501030;8501008;34;14.97
8500322;8500320;20;7.05
8500320;8500303;41;3.02
8500303;8500302;41;4.02
8500302;8500301;45;2.16
8500301;8500313;41;2.0
8500313;8500300;41;3.0
8500300;8517131;41;1.02
8517131;8500021;41;3.0
8500021;8500020;87;3.07
8500020;8500010;90;7.18
8500218;8500027;17;9.94
8500027;8500026;57;3.28
8500026;8500025;43;2.0
8500025;8500023;1;5.0
8500023;8500022;44;2.98
8500022;8500021;43;3.98
8500025;8500024;42;2.05
8500024;8500023;43;3.51
8500010;8500136;41;3.0
8500136;8500119;41;3.0
8500119;8500118;41;3.0
8500118;8500117;41;2.02
8500117;8500116;33;2.0
8500116;8500115;33;3.0
8500115;8500114;33;5.03
8500114;8500113;33;3.06
8500113;8500114;35;3.0
8500114;8500115;35;5.97
8500115;8500116;34;2.0
8500116;8500117;34;3.0
8500117;8500118;43;2.93
8500118;8500119;43;3.0
8500119;8500136;43;3.0
8500136;8500010;43;4.05
8500115;8500117;1;4.0
8501120;8501200;70;14.34
8501200;8501300;54;5.07
8501300;8501303;35;3.71
8501303;8501400;35;6.66
8501400;8501402;46;5.09
8501402;8501403;46;4.61
8501403;8501500;24;10.0
8501500;8501506;41;13.07
8501506;8501509;37;9.43
8501509;8501601;22;6.05
8501601;8501605;22;10.77
8500010;8500020;86;4.95
8500020;8500021;86;3.98
8500021;8500300;4;3.0
8500300;8500313;45;3.0
8500313;8500301;45;2.02
8500301;8500302;45;2.11
8500302;8500320;4;7.0
8500320;8500302;3;6.33
8500301;8500300;2;4.0
8500300;8500021;2;3.0
8501605;8501601;19;9.0
8501601;8501509;19;7.0
8501509;8501506;35;9.57
8501500;8501400;16;17.0
8500021;8500022;41;3.02
8500022;8500023;41;3.0
8500026;8500027;57;2.98
8500027;8500218;17;11.12
8501026;8501008;86;6.88
8501008;8501030;36;13.86
8501030;8501037;34;16.79
8501037;8501120;36;11.08
8501300;8501400;41;9.41
8501400;8501500;17;16.0
8500037;8500035;20;5.05
8500035;8500034;21;2.0
8500034;8500033;21;2.05
8500033;8500032;21;2.0
8500032;8500031;21;2.0
8500031;8500026;21;5.0
8500218;8500037;19;4.0
8500026;8500031;20;3.0
8500031;8500032;20;2.0
8500032;8500033;20;2.0
8500033;8500034;20;2.0
8500034;8500035;20;3.0
8500035;8500037;19;4.0
8500037;8500218;19;6.0
8500021;8517131;41;2.0
8517131;8500300;41;2.02
8500302;8500303;41;4.0
8500303;8500320;41;3.05
8500320;8500304;22;3.0
8500304;8500305;22;3.95
8500305;8500304;22;3.0
8500304;8500320;22;3.05
8500309;8500305;36;15.44
8500305;8500309;37;15.46
8500320;8500322;20;7.05
8500109;8500120;41;3.0
8500120;8500121;41;2.0
8500121;8500122;41;3.02
8500122;8500123;41;2.98
8500123;8500124;41;4.0
8500124;8500125;41;6.0
8500125;8500126;41;6.0
8500023;8500024;40;2.98
8500024;8500025;40;2.0
8500025;8500026;40;3.0
8500027;8500028;40;3.0
8500028;8500218;40;8.22
8500218;8500028;40;7.0
8500028;8500027;40;3.52
8500126;8500125;41;4.0
8500125;8500124;41;4.0
8500124;8500123;41;5.98
8500123;8500122;41;3.0
8500122;8500121;41;2.51
8500121;8500120;41;3.46
8500120;8500109;41;4.0
8501030;8501031;43;3.14
8501031;8501037;2;13.5
8501104;8501100;22;11.09
8501100;8501151;22;2.0
8501151;8501152;22;1.0
8501152;8501153;22;3.0
8501153;8501154;22;3.0
8501154;8501155;22;2.0
8501155;8501156;22;2.0
8501156;8501157;22;2.09
8501157;8530783;22;1.05
8530783;8501159;22;5.95
8501159;8530783;22;3.0
8530783;8501157;22;1.0
8501157;8501156;22;1.95
8501156;8501155;22;2.0
8501155;8501154;22;2.0
8501154;8501153;22;3.05
8501153;8501152;22;3.0
8501152;8501151;22;1.05
8501151;8501100;22;4.09
8501100;8501104;22;11.91
8506000;8503305;74;7.0
8503305;8503307;79;4.47
8503307;8503016;41;5.05
8503016;8503307;39;3.95
8503307;8503305;76;5.53
8503000;8503015;39;3.0
8503015;8503006;39;4.0
8503006;8503016;165;4.86
8503305;8506000;70;7.43
8503424;8503423;93;3.0
8503423;8506049;1;3.0
8506049;8506048;39;5.0
8506048;8506047;39;5.51
8506047;8506000;17;12.06
8501120;8501008;33;36.06
8501037;8501118;61;5.89
8501400;8501403;18;8.83
8506000;8506047;17;11.0
8506047;8506048;39;5.97
8506048;8506049;39;4.51
8506049;8503423;1;3.0
8503423;8503424;95;4.13
8501403;8501400;18;8.83
8501008;8501120;35;35.97
8501509;8501605;16;15.06
8506105;8506104;39;3.0
8506104;8506103;39;3.0
8506103;8506102;39;4.0
8506102;8506101;39;2.0
8506101;8506100;39;4.0
8506100;8506019;39;3.0
8506019;8506018;39;3.56
8506018;8506017;39;2.44
8506017;8506016;39;3.0
8506016;8506000;97;4.94
8503016;8503006;165;4.21
8503006;8503015;40;2.0
8503015;8503000;40;5.03
8504317;8504316;7;3.0
8504316;8504315;45;3.0
8504315;8504314;26;5.27
8504314;8504316;1;6.0
8504314;8504315;25;3.0
8504315;8504316;44;5.0
8504316;8504317;6;3.0
8501605;8501509;16;13.94
8504221;8504215;2;23.0
8504215;8504221;2;25.0
8500126;8500141;21;3.0
8500141;8500127;21;2.1
8500127;8500144;21;3.0
8500144;8500128;21;2.1
8500128;8500144;21;2.0
8500144;8500127;21;4.05
8500127;8500141;21;2.0
8500141;8500126;21;5.0
8501008;8501037;14;26.29
8503225;8503224;15;2.0
8503224;8503223;15;3.33
8503223;8503222;15;3.0
8503222;8503221;15;4.0
8503221;8503220;52;3.0
8503220;8503211;37;2.0
8503211;8503209;37;5.0
8503209;8503207;35;4.0
8503207;8503206;74;4.47
8503206;8503204;35;5.0
8503204;8503202;35;4.0
8503202;8503010;36;6.0
8503010;8503011;111;1.0
8503011;8503000;111;4.66
8503000;8503006;217;4.64
8503006;8503000;212;5.49
8503000;8503011;114;2.34
8503011;8503010;114;2.64
8503010;8503202;36;6.0
8503202;8503204;36;4.0
8503204;8503206;36;6.0
8503206;8503207;75;3.0
8503207;8503209;36;6.0
8503209;8503211;38;3.0
8503211;8503220;38;2.95
8503220;8503221;55;4.02
8503221;8503225;61;9.74
8503225;8503221;65;9.0
8503221;8503222;20;2.0
8503222;8503223;20;3.0
8503223;8503225;4;8.0
8503223;8503224;16;3.0
8503224;8503225;16;4.81
8503305;8503303;48;4.02
8503303;8503302;48;4.0
8503302;8503301;48;4.38
8503301;8503300;39;3.03
8503300;8503123;39;4.0
8503130;8503123;38;5.0
8503123;8503300;38;2.0
8503300;8503301;38;5.0
8503301;8503302;49;3.0
8503302;8503303;49;3.0
8503303;8503305;49;6.0
8503305;8503306;107;4.0
8503306;8503147;39;4.0
8503147;8503003;151;4.5
8503003;8503000;349;2.79
8503000;8503020;351;2.11
8503000;8503003;348;2.45
8503003;8503147;152;4.51
8503147;8503306;38;3.0
8503306;8503305;107;5.27
8503020;8503006;203;4.86
8503006;8503310;82;2.45
8503310;8503312;7;5.0
8503312;8503400;7;6.0
8503020;8503000;354;3.4
8503400;8503312;7;5.0
8503312;8503310;7;5.0
8503310;8503006;82;2.91
8503006;8503020;206;3.81
8501008;8501023;41;9.05
8501023;8501030;41;5.07
8501031;8501033;40;4.12
8501033;8501035;40;3.25
8501035;8501037;40;5.03
8501118;8501037;60;6.3
8501037;8501035;41;5.02
8501035;8501033;41;3.17
8501033;8501031;41;5.1
8501031;8501030;42;3.48
8501030;8501023;41;5.8
8501023;8501022;1;3.0
8501022;8501008;2;8.5
8501023;8501008;42;9.64
8501008;8516155;84;5.0
8516155;8516273;26;6.0
8516273;8516155;27;5.96
8516155;8501008;81;5.67
8501400;8501303;32;6.03
8501303;8501300;33;4.03
8516155;8517142;76;2.0
8517142;8516272;76;2.99
8516272;8516273;76;2.99
8516273;8516274;60;2.02
8503003;8503125;74;11.0
8503125;8503123;74;6.0
8503123;8503122;75;4.99
8503122;8503121;75;3.0
8503121;8503120;75;4.0
8503120;8503110;75;3.0
8503110;8503209;54;4.93
8503020;8503001;115;3.66
8503001;8502220;71;4.0
8502220;8502229;71;2.0
8502229;8502221;71;4.0
8502221;8502222;71;4.0
8502222;8502223;71;4.0
8502223;8502224;71;4.45
8502224;8502225;39;3.0
8502225;8502226;39;4.0
8502226;8502227;39;3.0
8502227;8518459;39;1.0
8518459;8502204;39;5.0
8502204;8518459;38;3.0
8518459;8502227;38;2.0
8502227;8502226;38;4.0
8502226;8502225;38;3.0
8502225;8502224;38;4.0
8502224;8502223;70;3.0
8502223;8502222;70;4.0
8502222;8502221;70;6.0
8502221;8502229;70;2.0
8502229;8502220;70;2.0
8502220;8503001;70;6.0
8503001;8503020;114;2.0
8503110;8503120;77;2.0
8503120;8503121;77;5.0
8503121;8503122;77;3.0
8503122;8503123;77;5.0
8503123;8503125;75;5.0
8503125;8503003;74;11.0
8503209;8503110;58;5.36
8503125;8503000;1;14.0
8503000;8503001;107;5.0
8503526;8503008;43;3.0
8503008;8503007;39;2.0
8503007;8503006;39;4.0
8503003;8503004;76;3.0
8503504;8503505;104;2.62
8503505;8503529;38;3.0
8503529;8503528;38;4.95
8503528;8503525;38;1.03
8503525;8503527;38;3.0
